,0,1,2,3,4,5,6,7,8,9,median_p_value,corrected_p_value,Direction,Response
hsa-miR-146b-5p,1.0983578790491632e-05,2.4317497525566294e-06,0.002019526660457196,1.8780225148088348e-05,2.9785450191753644e-05,0.0012699482235926885,0.0009516397134193357,0.00012028193134288127,0.00021584938024410928,0.00011390654492203378,0.00011709423813245753,0.0029912255377473242,Decrease,1
hsa-miR-361-5p,0.0001445404243181019,2.079953418990242e-06,8.315108554764916e-08,2.294480214975226e-05,0.00021143933964192882,5.7153096331265095e-05,0.21172598480384985,0.006154993901690892,0.004071136553411932,0.00021208195052873423,0.00017798988198001537,0.00416792973636536,Decrease,1
hsa-miR-361-3p,8.392302551594026e-06,8.993885382976282e-06,6.936765495741038e-05,0.0006893448439188925,2.4573334217710727e-05,0.00032486774320138336,0.06170492745447802,0.0026884023643367907,0.000580039599521034,1.230866839397939e-06,0.00019711769907939687,0.004260774880100809,Increase,1
hsa-miR-6881-3p,0.00034946335789092284,8.692252595675068e-05,0.000908368452573923,0.0004068630264189575,0.00025302785985033597,0.0015523664952008746,8.93183588100386e-05,1.0727012367513002e-05,5.877245937258258e-06,0.0006899392383342682,0.0003012456088706294,0.006046429720903347,Increase,1
hsa-miR-6511a-3p,1.0478944713664098e-06,2.7014981056350086e-05,1.765647266856053e-06,4.6561882236652696e-06,0.0008787116568559775,0.01935587801534171,0.23390920754298497,0.015926722179110085,0.0010418437924672084,3.325798053943409e-05,0.0004559848186977058,0.008542115603603689,Increase,1
hsa-miR-636,4.346183220811638e-05,0.0010650981444944216,0.00016453565671151297,1.6494980558206433e-06,0.00017779876540618465,0.014458742373870273,0.23107725700914603,0.00013914665016447379,0.0560946951110421,0.003980130385227054,0.0006214484549503032,0.010272177402413835,Increase,1
hsa-miR-3173-5p,5.959429682728213e-05,0.015715586960713304,0.00020956557931371401,3.2631570774371037e-09,0.0006406875009341503,6.174240784352526e-05,0.0009674490554160626,0.0317050170496612,0.000865133313006416,0.0005490231005714772,0.0005948553007528137,0.010272177402413835,Increase,1
hsa-miR-423-3p,4.9794106469024275e-05,0.0010016363433283156,0.0014266966789904009,1.642047260583049e-08,0.0014816657929107955,1.2673419231180723e-05,0.00019146633565249194,0.007465445558425116,0.0018977113641100525,0.0003293079412845783,0.000665472142306447,0.010388759554895089,Increase,1
hsa-miR-2110,0.00014796352127204642,0.0001763486662566375,0.0006307182358407153,0.0002618858404538569,0.018467225420673517,0.0001853414788893994,0.011603717405329124,0.0010616480138434733,0.008116598649548753,0.005598658010824597,0.0008461831248420943,0.012514603056875183,Decrease,1
hsa-miR-3184-5p,0.00011204339380743699,0.0013937856860790035,0.002237932913406698,4.5167028138664335e-08,0.002208991209082621,2.2560921964770016e-05,0.00026412098125527106,0.00902289752305764,0.002855280139041085,0.0005569836022711595,0.0009753846441750815,0.013704154250659894,Increase,1
hsa-miR-744-5p,8.50118540630576e-05,0.0016075169556014786,5.3252904879596896e-05,0.0002920443856646614,0.11137886989800894,0.009190816340334036,0.07817575272440162,0.015476011925298173,0.002340294712038081,0.0007833175467767408,0.00197390583381978,0.02641273996682658,Increase,1
hsa-miR-625-3p,0.0021548051416805853,0.9357210888574089,0.026274680210824696,0.0017491043985154381,0.015645286642210345,0.0003406470012346551,1.6748360903032743e-05,0.0019885703747945247,7.076431868745727e-05,0.012230387100700154,0.002071687758237555,0.026461102730216048,Increase,1
hsa-miR-328-3p,0.00035666080706964177,0.00029753996351773813,0.001402157506319182,5.729566267091161e-06,0.0029484389194580915,0.00556265798218831,0.01566666243596696,0.0800948532514351,0.1205982224388677,0.0008588155712876617,0.002175298212888637,0.026576469470508998,Increase,1
hsa-miR-6741-3p,0.0031488814404368876,0.0004534701398912403,0.001711114427080564,0.00011810963946996338,0.0010148297316661169,0.005400882952862747,0.796250561785032,0.032992793747120476,0.05210432288475092,0.0004553789002419515,0.002429997933758726,0.028451225807758416,Increase,1
hsa-miR-625-5p,0.0032464420489549113,0.947112667955592,0.020740908491380113,0.002064707657754145,0.020706317171293842,0.00027944557647554944,1.8360422454573433e-05,0.00168098529216807,5.373858222971003e-05,0.013806351845665314,0.002655574853354528,0.028700635915100862,Increase,1
hsa-miR-3615,2.881166638005911e-05,0.0009101170699294939,0.004397595377304007,0.00029259337198982464,0.012609180943277069,0.00020921827971190422,0.17404111093347327,0.010211865648763105,0.1337860792015095,0.00019974284639070065,0.0026538562236167506,0.028700635915100862,Increase,1
hsa-miR-3605-3p,8.048016520353568e-06,0.001062469607665333,0.002007419840857896,8.540244797109307e-07,0.004730310257181131,0.005862805156455088,0.018354859520127734,0.03939835872533472,0.011525481308650717,3.837646058723578e-05,0.0033688650490195137,0.03506115106572161,Increase,1
hsa-miR-30e-5p,5.572954593416558e-05,0.7561174885492526,0.005101902544666728,0.00338408282520299,0.013723901295857394,0.004181715252874714,0.004033112681985197,0.00015319155706121633,0.0014898397011721175,0.008322327762834938,0.0041074139674299555,0.040863413298065164,Increase,1
hsa-let-7d-3p,0.00014234166722694734,0.04421644256627051,0.09078124496016406,1.2816342447190512e-05,0.002782274056011147,0.0023674238465991077,0.005652167122948923,0.38004368990205184,0.022834910684141438,0.0005199112134918743,0.004217220589480035,0.040863413298065164,Increase,1
